"","Constituency.Name","Electorate","Votes","Lab","Con","LD","Grn","UKIP","SNP","year","leave"
"1","Aberavon",50838,30958,16073,4411,5034,0,489,0,2010,0.5996545077
"2","Aberavon",49821,31523,15416,3742,1397,711,4971,0,2015,0.5996545077
"3","Aberconwy",44593,29966,7336,10734,5786,0,632,0,2010,0.5338379841
"4","Aberconwy",45525,30148,8514,12513,1391,727,3467,0,2015,0.5338379841
"5","Aberdeen North",64808,37701,16746,4666,7001,0,0,8385,2010,0.4309975547
"6","Aberdeen North",67745,43936,0,5304,2050,0,0,24793,2015,0.4309975547
"7","Aberdeen South",68056,48551,12991,11087,2252,964,897,20221,2015,0.3232565417
"8","Aberdeen South",64031,43034,15722,8914,12216,413,0,5102,2010,0.3232565417
"9","Aberdeenshire West & Kincardine",66110,45195,6159,13678,17362,0,397,7086,2010,NA
"10","Aberdeenshire West & Kincardine",73445,55196,2487,15916,11812,885,1006,22949,2015,NA
"11","Airdrie & Shotts",62364,35849,20849,3133,2898,0,0,8441,2010,NA
"12","Airdrie & Shotts",66792,44286,15108,3389,678,0,1088,23887,2015,NA
"13","Aldershot",71465,45384,5489,21203,15617,0,2041,0,2010,0.5789776574
"14","Aldershot",72430,46191,8468,23369,4076,2025,8253,0,2015,0.5789776574
"15","Aldridge-Brownhills",58909,38634,7647,22913,6833,847,0,0,2010,0.6779634958
"16","Aldridge-Brownhills",60215,39497,8835,20558,1330,826,7751,0,2015,0.6779634958
"17","Altrincham & Sale West",72208,49393,11073,24176,12581,0,1563,0,2010,NA
"18","Altrincham & Sale West",71511,50517,13481,26771,4235,1983,4047,0,2015,NA
"19","Alyn & Deeside",60931,39923,15804,12885,7308,0,1009,0,2010,NA
"20","Alyn & Deeside",62016,41314,16540,13197,1733,976,7260,0,2015,NA
"21","Amber Valley",69510,45717,15901,20106,1360,1087,7263,0,2015,0.6533921445
"22","Amber Valley",70171,45958,17210,17746,6636,0,906,0,2010,0.6533921445
"23","Angus",62860,37960,6535,11738,4090,0,577,15020,2010,0.4813276871
"24","Angus",65792,44485,3919,12900,1216,965,1355,24130,2015,0.4813276871
"25","Antrim East",60204,30502,0,0,0,0,0,0,2010,NA
"26","Antrim East",62811,33497,0,549,0,0,3660,0,2015,NA
"27","Antrim North",73338,42397,0,0,0,0,0,0,2010,NA
"28","Antrim North",75876,41907,0,368,0,0,1341,0,2015,NA
"29","Antrim South",63054,34009,0,0,0,0,0,0,2010,NA
"30","Antrim South",67425,36523,0,415,0,0,0,0,2015,NA
"31","Arfon",41198,26078,7928,4416,3666,0,685,0,2010,0.3490749007
"32","Arfon",40492,26837,8122,3521,718,0,2277,0,2015,0.3490749007
"33","Argyll & Bute",67165,45207,10274,10861,14292,789,0,8563,2010,NA
"34","Argyll & Bute",68875,51883,5394,7733,14486,0,1311,22959,2015,NA
"35","Arundel & South Downs",76835,55982,4835,32333,15642,0,3172,0,2010,NA
"36","Arundel & South Downs",77242,56477,6324,34331,4062,3606,8154,0,2015,NA
"37","Ashfield",77379,48196,16239,10698,16047,0,933,0,2010,0.7057585002
"38","Ashfield",77091,47409,19448,10628,7030,0,10150,0,2015,0.7057585002
"39","Ashford",85177,57372,10580,30094,3433,2467,10798,0,2015,0.596788819
"40","Ashford",81271,55185,9204,29878,12581,1014,2508,0,2010,0.596788819
"41","Ashton Under Lyne",67714,38432,18604,9510,5703,0,1686,0,2010,NA
"42","Ashton Under Lyne",68343,38918,19366,8610,943,1531,8468,0,2015,NA
"43","Aylesbury",77844,53162,6695,27736,15118,0,3613,0,2010,0.5210161337
"44","Aylesbury",80315,55419,8391,28083,5885,2135,10925,0,2015,0.5210161337
"45","Ayr, Carrick & Cumnock",73320,45893,21632,11721,4264,0,0,8276,2010,NA
"46","Ayr, Carrick & Cumnock",72995,52209,14227,10355,855,0,1280,25492,2015,NA
"47","Ayrshire Central",68352,43915,20950,8943,5236,0,0,8364,2010,NA
"48","Ayrshire Central",70021,50774,13410,8803,917,645,0,26999,2015,NA
"49","Ayrshire North & Arran",74223,46116,21860,7212,4630,0,0,11965,2010,NA
"50","Ayrshire North & Arran",75791,53869,15068,7968,896,0,1296,28641,2015,NA
"51","Banbury",86420,58008,12354,30749,3440,2686,8050,0,2015,0.5053589533
"52","Banbury",84379,56241,10773,29703,11476,959,2806,0,2010,0.5053589533
"53","Banff & Buchan",64300,38466,5382,11841,4365,0,0,15868,2010,NA
"54","Banff & Buchan",68609,45629,2647,13148,2347,0,0,27487,2015,NA
"55","Barking",73977,43041,24826,7019,562,897,9554,0,2015,0.6033002338
"56","Barking",73868,45343,24628,8073,3719,317,1300,0,2010,0.6033002338
"57","Barnsley Central",64534,36560,20376,5485,770,938,7941,0,2015,0.6837815879
"58","Barnsley Central",65543,37001,17487,6388,6394,0,1727,0,2010,0.6837815879
"59","Barnsley East",68435,38386,18059,6329,6969,0,1731,0,2010,0.7077794137
"60","Barnsley East",69135,38517,21079,5622,1217,0,9045,0,2015,0.7077794137
"61","Barrow & Furness",68943,44124,21226,16018,4424,530,841,0,2010,NA
"62","Barrow & Furness",68338,43275,0,17525,1169,1061,5070,0,2015,NA
"63","Basildon & Billericay",65515,41569,9584,21922,6538,0,1591,0,2010,NA
"64","Basildon & Billericay",66347,43028,10186,22668,1636,0,8538,0,2015,NA
"65","Basildon South & Thurrock East",71874,44735,13852,19624,5977,0,2639,0,2010,NA
"66","Basildon South & Thurrock East",71155,45593,11493,19788,1356,0,12097,0,2015,NA
"67","Basingstoke",75473,50654,10327,25590,12414,0,2076,0,2010,0.5364191295
"68","Basingstoke",79665,53076,14706,25769,3919,0,8290,0,2015,0.5364191295
"69","Bassetlaw",76796,49289,23965,15122,1331,1006,7865,0,2015,0.6832485971
"70","Bassetlaw",76513,49577,25018,16803,5570,0,1779,0,2010,0.6832485971
"71","Bath",63084,47167,6216,17833,14000,5634,2922,0,2015,0.3169279409
"72","Bath",66686,47086,3251,14768,26651,1120,890,0,2010,0.3169279409
"73","Batley & Spen",76738,51109,21565,17159,8095,605,0,0,2010,NA
"74","Batley & Spen",78373,50479,21826,15769,2396,1232,9080,0,2015,NA
"75","Battersea",76111,51031,18792,26730,2241,1682,1586,0,2015,0.2303755679
"76","Battersea",74311,48792,17126,23103,7176,559,505,0,2010,0.2303755679
"77","Beaconsfield",74726,53163,6074,33621,3927,2231,7310,0,2015,0.4929742327
"78","Beaconsfield",74982,52490,6135,32053,10271,768,2597,0,2010,0.4929742327
"79","Beckenham",66219,47686,6893,27597,9813,608,1551,0,2010,0.4838170491
"80","Beckenham",67439,48803,9484,27955,3378,1878,6108,0,2015,0.4838170491
"81","Bedford",69311,46086,18528,19625,1958,1412,4434,0,2015,0.5194916653
"82","Bedford",68530,45102,16193,17546,8957,393,1136,0,2010,0.5194916653
"83","Bedfordshire Mid",76310,54897,8108,28815,13663,773,2826,0,2010,NA
"84","Bedfordshire Mid",78501,58060,9217,32544,4193,2462,8966,0,2015,NA
"85","Bedfordshire North East",78060,55552,8957,30989,12047,0,2294,0,2010,NA
"86","Bedfordshire North East",83551,58672,9247,34891,3418,2537,8579,0,2015,NA
"87","Bedfordshire South West",76559,50774,9948,26815,10166,0,2142,0,2010,NA
"88","Bedfordshire South West",79285,51304,10399,28212,2646,2106,7941,0,2015,NA
"89","Belfast East",59007,34488,0,0,0,0,0,0,2010,NA
"90","Belfast East",63157,39682,0,1121,0,1058,0,0,2015,NA
"91","Belfast North",65504,36993,0,0,0,0,0,0,2010,NA
"92","Belfast North",68553,40593,0,0,0,0,0,0,2015,NA
"93","Belfast South",59524,34186,0,0,0,1036,0,0,2010,NA
"94","Belfast South",64927,38957,0,582,0,2238,1900,0,2015,NA
"95","Belfast West",59522,32133,0,0,0,0,0,0,2010,NA
"96","Belfast West",62697,35329,0,34,0,0,765,0,2015,NA
"97","Bermondsey & Old Southwark",77628,44651,13060,7638,21590,718,0,0,2010,NA
"98","Bermondsey & Old Southwark",83298,51424,22146,6051,17657,2023,3254,0,2015,NA
"99","Berwick-upon-Tweed",56578,38439,5061,14116,16806,0,1243,0,2010,0.5555173308
"100","Berwickshire, Roxburgh & Selkirk",73826,49014,5003,16555,22230,0,595,4497,2010,NA
"101","Berwickshire, Roxburgh & Selkirk",74214,55038,2700,19817,10294,631,1316,20145,2015,NA
"102","Bethnal Green & Bow",81243,50728,21784,7071,10210,856,0,0,2010,NA
"103","Bethnal Green & Bow",82727,52924,32387,8070,2395,4906,3219,0,2015,NA
"104","Beverley & Holderness",79318,53199,11224,25063,12076,686,1845,0,2010,NA
"105","Beverley & Holderness",80805,52677,13160,25363,2900,1802,8794,0,2015,NA
"106","Bexhill & Battle",81032,54587,6524,28147,15267,0,0,0,2010,NA
"107","Bexhill & Battle",78796,55218,7797,30245,4199,2807,10170,0,2015,NA
"108","Bexleyheath & Crayford",65015,43182,11450,21794,5502,371,1557,0,2010,NA
"109","Bexleyheath & Crayford",64828,43685,11451,20643,1308,950,9182,0,2015,NA
"110","Birkenhead",62773,35323,22082,6687,6554,0,0,0,2010,0.517076065
"111","Birkenhead",62410,39144,26468,5816,1396,1626,3838,0,2015,0.517076065
"112","Birmingham Edgbaston",68573,41571,16894,15620,6387,469,732,0,2010,NA
"113","Birmingham Edgbaston",65591,41293,18518,15812,1184,1371,4154,0,2015,NA
"114","Birmingham Erdington",66405,35546,14869,11592,5742,0,842,0,2010,NA
"115","Birmingham Erdington",65128,34684,15824,10695,965,948,6040,0,2015,NA
"116","Birmingham Hall Green",76580,48727,16039,7320,11988,0,950,0,2010,NA
"117","Birmingham Hall Green",76330,47046,28147,8329,5459,2200,2131,0,2015,NA
"118","Birmingham Hodge Hill",75040,42472,22077,4936,11775,0,714,0,2010,NA
"119","Birmingham Hodge Hill",75302,41039,28069,4707,2624,835,4651,0,2015,NA
"120","Birmingham Ladywood",73646,35833,19950,4277,9845,859,902,0,2010,NA
"121","Birmingham Ladywood",68128,35916,26444,4576,1374,1501,1805,0,2015,NA
"122","Birmingham Northfield",71338,41814,16841,14059,6550,406,1363,0,2010,NA
"123","Birmingham Northfield",71428,42461,17673,15164,1349,1169,7106,0,2015,NA
"124","Birmingham Perry Barr",71304,42045,21142,8960,9234,0,1675,0,2010,NA
"125","Birmingham Perry Barr",69943,41260,23697,8869,2001,1330,5032,0,2015,NA
"126","Birmingham Selly Oak",74805,46563,17950,14468,10371,664,1131,0,2010,NA
"127","Birmingham Selly Oak",75092,45294,21584,13137,2517,2301,5755,0,2015,NA
"128","Birmingham Yardley",72321,40850,13160,7836,16162,0,1190,0,2010,NA
"129","Birmingham Yardley",72146,41151,17129,5760,10534,698,6637,0,2015,NA
"130","Bishop Auckland",68368,41136,16023,10805,9189,0,1119,0,2010,0.6062241442
"131","Bishop Auckland",66070,39389,16307,12799,1723,1545,7015,0,2015,0.6062241442
"132","Blackburn",72331,45499,21751,11895,6918,0,942,0,2010,0.5372925725
"133","Blackburn",73260,43999,24762,12002,955,0,6280,0,2015,0.5372925725
"134","Blackley & Broughton",69489,34204,18563,6260,4861,0,894,0,2010,NA
"135","Blackley & Broughton",71913,37112,22982,5581,874,1567,6108,0,2015,NA
"136","Blackpool North & Cleveleys",66017,40591,14814,16964,5400,0,1659,0,2010,NA
"137","Blackpool North & Cleveleys",62468,39393,14168,17508,948,889,5823,0,2015,NA
"138","Blackpool South",57411,32436,13548,10963,743,841,5613,0,2015,0.6780391362
"139","Blackpool South",63027,35192,14449,12597,5082,0,1352,0,2010,0.6780391362
"140","Blaenau Gwent",51335,31683,18380,3419,620,738,5677,0,2015,0.6202804437
"141","Blaenau Gwent",52442,32395,16974,2265,3285,0,488,0,2010,0.6202804437
"142","Blaydon",67901,44936,22090,7838,5497,1648,7863,0,2015,0.5631875632
"143","Blaydon",67808,44913,22297,7159,13180,0,0,0,2010,0.5631875632
"144","Blyth Valley",62900,38566,17156,6412,10488,0,1665,0,2010,0.5988035794
"145","Blyth Valley",61247,38461,17813,8346,2265,1453,8584,0,2015,0.5988035794
"146","Bognor Regis & Littlehampton",70816,46852,6580,24087,11024,0,3036,0,2010,NA
"147","Bognor Regis & Littlehampton",72995,47116,6508,24185,4240,1942,10241,0,2015,NA
"148","Bolsover",72766,43988,21994,10812,6821,0,1721,0,2010,0.7027221264
"149","Bolsover",71979,43998,22542,10764,1464,0,9228,0,2015,0.7027221264
"150","Bolton North East",67895,43161,18541,14164,1236,1103,8117,0,2015,0.5776723522
"151","Bolton North East",66846,43277,19870,15786,5624,0,1815,0,2010,0.5776723522
"152","Bolton South East",69687,40743,20555,8289,1072,1200,9627,0,2015,0.6342168192
"153","Bolton South East",69499,39604,18782,10148,6289,614,1564,0,2010,0.6342168192
"154","Bolton West",71284,47576,18327,18235,8177,545,1901,0,2010,0.5553871533
"155","Bolton West",72719,48592,18943,19744,1947,0,7428,0,2015,0.5553871533
"156","Bootle",70145,45152,33619,3639,978,1501,4915,0,2015,0.5487643903
"157","Bootle",71422,41277,27426,3678,6245,0,2514,0,2010,0.5487643903
"158","Boston & Skegness",67186,43125,8899,21325,6371,0,4081,0,2010,NA
"159","Boston & Skegness",67064,43339,7142,18981,1015,800,14645,0,2015,NA
"160","Bosworth",79738,53582,9354,22939,11951,0,9338,0,2015,0.6079730392
"161","Bosworth",77296,54274,8674,23132,18100,0,1098,0,2010,0.6079730392
"162","Bournemouth East",71125,44024,5836,21320,13592,0,3027,0,2010,0.5350713031
"163","Bournemouth East",72275,44827,7448,22060,3752,3263,7401,0,2015,0.5350713031
"164","Bournemouth West",71753,41659,6171,18808,13225,0,2999,0,2010,0.5789926072
"165","Bournemouth West",72082,41773,7386,20155,3281,3107,7745,0,2015,0.5789926072
"166","Bracknell",76888,52136,8755,27327,11623,821,2297,0,2010,0.5325104196
"167","Bracknell",81271,53086,8956,29606,3983,2202,8339,0,2015,0.5325104196
"168","Bradford East",65116,40457,13272,10860,13637,0,0,0,2010,0.5515782934
"169","Bradford East",66121,41406,19312,4682,12228,871,4103,0,2015,0.5515782934
"170","Bradford South",63580,37995,15682,11060,6948,0,1339,0,2010,0.6356121775
"171","Bradford South",63674,37600,16328,9878,1094,1243,9057,0,2015,0.6356121775
"172","Bradford West",62519,40576,18401,12638,4732,940,812,0,2010,0.4674085444
"173","Bradford West",63372,40290,19977,6160,1173,1085,3140,0,2015,0.4674085444
"174","Braintree",73557,50283,9296,27071,2488,1564,9461,0,2015,0.614274471
"175","Braintree",71163,49203,9780,25901,9247,718,2477,0,2010,0.614274471
"176","Brecon & Radnorshire",54441,40074,5904,16453,11351,1261,3338,0,2015,NA
"177","Brecon & Radnorshire",53589,38845,4096,14182,17929,341,876,0,2010,NA
"178","Brent Central",74046,45323,18681,5067,20026,668,0,0,2010,0.4292455493
"179","Brent Central",77038,47032,29216,9567,3937,1912,1850,0,2015,0.4292455493
"180","Brent North",83896,52298,24514,16486,8879,725,380,0,2010,0.4309235831
"181","Brent North",82196,52235,28351,17517,2607,1539,2024,0,2015,0.4309235831
